車型,品番,品名,產品圖片,原料編號,模具廠商,生產機台,CT時間(秒),重量公差,標準重量(g),重量上限(g),重量下限(g),標準長度,長度上限,長度下限,後加工組立,組立時間,重點管制1,重點管制2,重點管制3,異常履歷寫真1,異常履歷寫真2,異常履歷寫真3,出貨容器,收容數,月需求量,成形條件表,作業標準書,檢查手順書,備註
D38H,67913_4-BZ220,腳踏板RH/LH,67913_4-BZ220_main.jpg,,,,,,,,,,,,,,,,,,,,,,,67913_4-BZ220_qc1.pdf,67913_4-BZ220_qc2.pdf,67913_4-BZ220_qc3.pdf,
681W,58816_7-0D080-1,大翅膀RH/LH,58816_7-0D080-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58816_7-0D080-1_qc1.pdf,58816_7-0D080-1_qc2.pdf,58816_7-0D080-1_qc3.pdf,
681W,58164-0D160-A,扶手本體,58164-0D160-A_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58164-0D160-A_qc1.pdf,58164-0D160-A_qc2.pdf,58164-0D160-A_qc3.pdf,
681W,58916-0D200,杯墊(大耳朵),58916-0D200_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58916-0D200_qc1.pdf,58916-0D200_qc2.pdf,58916-0D200_qc3.pdf,
681W,58916-0D150,杯墊(小耳朵),58916-0D150_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58916-0D150_qc1.pdf,58916-0D150_qc2.pdf,58916-0D150_qc3.pdf,
681W,67487_8-0D020,後背板配件★打切,67487_8-0D020_main.jpg,,,,,,,,,,,,,,,,,,,,,,,67487_8-0D020_qc1.pdf,67487_8-0D020_qc2.pdf,67487_8-0D020_qc3.pdf,
681W,53827_8-0D241-1,擋泥板RH/LH,53827_8-0D241-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,53827_8-0D241-1_qc1.pdf,53827_8-0D241-1_qc2.pdf,53827_8-0D241-1_qc3.pdf,
681W,62571_2-0D070,C柱下段RH/LH,62571_2-0D070_main.jpg,,,,,,,,,,,,,,,,,,,,,,,62571_2-0D070_qc1.pdf,62571_2-0D070_qc2.pdf,62571_2-0D070_qc3.pdf,
681W,58839-0D080-1,熊掌,58839-0D080-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58839-0D080-1_qc1.pdf,58839-0D080-1_qc2.pdf,58839-0D080-1_qc3.pdf,
681W,58911_2-0D430_070-1,小翅膀RH/LH,58911_2-0D430_070-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58911_2-0D430_070-1_qc1.pdf,58911_2-0D430_070-1_qc2.pdf,58911_2-0D430_070-1_qc3.pdf,
681W,55433-0D310,鑰匙孔(無,55433-0D310_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55433-0D310_qc1.pdf,55433-0D310_qc2.pdf,55433-0D310_qc3.pdf,
681W,58837-0D150,杯蓋,58837-0D150_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58837-0D150_qc1.pdf,58837-0D150_qc2.pdf,58837-0D150_qc3.pdf,
681W,55458-0D110,鑰匙孔(有,55458-0D110_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55458-0D110_qc1.pdf,55458-0D110_qc2.pdf,55458-0D110_qc3.pdf,
681W,55414-0D080,鑰匙孔配件,55414-0D080_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55414-0D080_qc1.pdf,55414-0D080_qc2.pdf,55414-0D080_qc3.pdf,
681W,58910-0D430,後扶手本體,58910-0D430_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58910-0D430_qc1.pdf,58910-0D430_qc2.pdf,58910-0D430_qc3.pdf,
D21,80870_1-BA100,前門飾板,80870_1-BA100_main.jpg,,,,,,,,,,,,,,,,,,,,,,,80870_1-BA100_qc1.pdf,80870_1-BA100_qc2.pdf,80870_1-BA100_qc3.pdf,
